Company,TypeName,Ram,OpSys,Weight,TouchScreen,Ips,Cpu_Speed,Cpu_Type,Gpu_vender,HDD,SSD,ppi,Price_USD
Lenovo,Gaming,16,No OS,2.4,0,0,2.8,Intel Core i7,Nvidia,0,512,141.21199808219862,1467.9
Dell,Notebook,6,Windows 10,2.3,1,0,2.4,Intel Core i3,Intel,1000,0,100.45466986113652,460.95
Dell,Ultrabook,8,Windows 10,1.21,1,1,1.8,Intel Core i7,Intel,0,256,331.2642361026012,2046.45
Dell,Ultrabook,8,Windows 10,1.2,0,0,1.8,Intel Core i7,Intel,0,256,165.6321180513006,1521.45
Lenovo,Notebook,8,Windows 10,2.2,0,0,2.5,Intel Core i5,Intel,0,256,100.45466986113652,626.85
Acer,Notebook,8,Linux,2.4,0,0,2.8,Intel Core i7,Nvidia,1000,0,141.21199808219862,817.95
Asus,Gaming,16,Windows 10,2.9,0,0,2.8,Intel Core i7,Nvidia,1000,256,127.33567457123112,1477.35
HP,Notebook,4,No OS,2.1,0,0,2.0,Intel Core i3,Intel,500,0,141.21199808219862,366.45
Lenovo,Notebook,8,No OS,2.2,0,0,2.5,Intel Core i5,Intel,0,256,141.21199808219862,576.45
Huawei,Ultrabook,8,Windows 10,1.05,0,1,2.7,Intel Core i7,Intel,0,512,199.69207064108247,1573.95
Dell,Ultrabook,8,Windows 10,1.4,0,1,1.8,Intel Core i7,AMD,0,256,165.6321180513006,978.47
Lenovo,Notebook,8,No OS,2.8,0,0,2.5,Intel Core i5,Nvidia,1000,0,106.11306214269258,618.45
HP,Notebook,8,Windows 10,1.63,0,0,1.8,Intel Core i7,Nvidia,0,256,157.3505121487356,1082.55
Dell,Ultrabook,8,Windows 10,1.6,0,0,1.6,Intel Core i5,Intel,0,256,157.3505121487356,1206.45
Dell,2 in 1 Convertible,16,Windows 10,1.62,1,0,1.8,Intel Core i7,Intel,0,512,165.6321180513006,1342.95
Dell,Notebook,8,Linux,2.2,0,0,1.6,Intel Core i5,AMD,0,256,141.21199808219862,711.22
Lenovo,2 in 1 Convertible,8,Windows 10,1.74,0,1,1.6,Intel Core i5,Intel,0,256,157.3505121487356,943.95
Toshiba,Ultrabook,8,Windows 10,1.2,0,0,2.5,Intel Core i7,Intel,0,256,165.6321180513006,1431.15
HP,Notebook,8,Windows 10,2.1,0,0,1.6,Intel Core i5,Intel,1000,0,141.21199808219862,833.7
Dell,Gaming,16,Windows 10,4.42,0,1,2.8,Intel Core i7,Nvidia,1000,256,127.33567457123112,2579.16
Acer,Notebook,8,Windows 10,2.2,0,0,2.7,Intel Core i7,Nvidia,0,256,141.21199808219862,873.6
Dell,Notebook,16,Windows 10,2.3,1,0,2.7,Intel Core i7,AMD,1000,0,141.21199808219862,901.96
Asus,Notebook,8,Windows 10,2.0,0,0,2.5,Intel Core i5,Nvidia,0,256,141.21199808219862,807.45
Asus,Notebook,8,Windows 10,2.69,0,0,2.5,Intel Core i5,Nvidia,500,256,127.33567457123112,935.55
HP,Notebook,8,Windows 10,1.9,0,0,2.7,Intel Core i7,AMD,1000,0,141.21199808219862,1332.45
